sample_name,cent_tolerance,algorithm,fundamental_f1,harmonic_f1,combined_f1
paralel_overtones02,60,YIN,0.9011,0.8050,0.9040
paralel_overtones02,60,pYIN,0.8692,0.8182,0.8832
paralel_overtones02,60,HPS,0.7234,0.7079,0.7529
sygyt,60,SWIPE,0.8170,0.6866,0.8478
sygyt,60,YIN,0.7063,0.4041,0.7016
sygyt,60,pYIN,0.7116,0.6764,0.7763
sygyt,60,HPS,0.1622,0.2941,0.2623
sygyt_02,60,SWIPE,0.8148,0.6729,0.8065
sygyt_02,60,YIN,0.7027,0.5429,0.7464
sygyt_02,60,pYIN,0.5756,0.6959,0.6840
sygyt_02,60,HPS,0.6877,0.5714,0.6882
changing_fundamental,80,SWIPE,0.8935,0.7766,0.8771
changing_fundamental,80,YIN,0.9279,0.7907,0.9058
changing_fundamental,80,pYIN,0.8915,0.8516,0.9073
changing_fundamental,80,HPS,0.8431,0.7101,0.8160
fundamental_opposite_harmonic,80,SWIPE,0.8857,0.7701,0.8936
fundamental_opposite_harmonic,80,YIN,0.8883,0.7962,0.9113
fundamental_opposite_harmonic,80,pYIN,0.8585,0.8763,0.9245
fundamental_opposite_harmonic,80,HPS,0.8010,0.7440,0.8316
fundamental_opposite_harmonic02,80,SWIPE,0.9251,0.6897,0.8616
fundamental_opposite_harmonic02,80,YIN,0.9340,0.7816,0.9076
fundamental_opposite_harmonic02,80,pYIN,0.8983,0.8295,0.9011
fundamental_opposite_harmonic02,80,HPS,0.8610,0.6667,0.8093
fundamental_steps,80,SWIPE,0.8750,0.7956,0.8787
fundamental_steps,80,YIN,0.8831,0.7883,0.8938
fundamental_steps,80,pYIN,0.8708,0.8687,0.9100
fundamental_steps,80,HPS,0.7919,0.6786,0.7781
fundamental_steps02,80,SWIPE,0.8849,0.7577,0.8951
fundamental_steps02,80,YIN,0.8800,0.7538,0.9016
fundamental_steps02,80,pYIN,0.8509,0.8226,0.9004
fundamental_steps02,80,HPS,0.8226,0.7227,0.8387
fundamental_steps03,80,SWIPE,0.8812,0.7867,0.9187
fundamental_steps03,80,YIN,0.8786,0.7841,0.9273
fundamental_steps03,80,pYIN,0.8714,0.8589,0.9452
fundamental_steps03,80,HPS,0.8065,0.7411,0.8535
kargyraa,80,SWIPE,0.7624,0.0000,0.1250
kargyraa,80,YIN,0.9585,0.4507,0.7705
kargyraa,80,pYIN,0.9346,0.4135,0.7255
kargyraa,80,HPS,0.2280,0.1628,0.0826
khoomei,80,SWIPE,0.8240,0.5119,0.7065
khoomei,80,YIN,0.8256,0.5397,0.7664
khoomei,80,pYIN,0.8221,0.5587,0.7250
khoomei,80,HPS,0.0263,0.2038,0.1263
overtone_scale,80,SWIPE,0.8387,0.8081,0.8846
overtone_scale,80,YIN,0.8618,0.8768,0.9308
overtone_scale,80,pYIN,0.8154,0.8279,0.8764
overtone_scale,80,HPS,0.8675,0.8041,0.9007
overtone_scale_02,80,SWIPE,0.9097,0.7816,0.8877
overtone_scale_02,80,YIN,0.8967,0.7919,0.8938
overtone_scale_02,80,pYIN,0.8941,0.9064,0.9340
overtone_scale_02,80,HPS,0.4385,0.6146,0.5545
overtone_singing_song,80,SWIPE,0.8568,0.7463,0.8763
overtone_singing_song,80,YIN,0.8753,0.7461,0.9002
overtone_singing_song,80,pYIN,0.8469,0.8147,0.8966
overtone_singing_song,80,HPS,0.7812,0.6843,0.8006
paralel_overtones01,80,SWIPE,0.8947,0.8444,0.9025
paralel_overtones01,80,YIN,0.9167,0.7937,0.8923
paralel_overtones01,80,pYIN,0.8961,0.8369,0.8982
paralel_overtones01,80,HPS,0.7463,0.7786,0.7922
paralel_overtones02,80,SWIPE,0.9014,0.8049,0.9025
paralel_overtones02,80,YIN,0.9011,0.8050,0.9040
paralel_overtones02,80,pYIN,0.8744,0.8182,0.8861
paralel_overtones02,80,HPS,0.7302,0.7079,0.7564
sygyt,80,SWIPE,0.8170,0.7122,0.8596
sygyt,80,YIN,0.7063,0.4330,0.7154
sygyt,80,pYIN,0.7116,0.6977,0.7867
sygyt,80,HPS,0.1622,0.3443,0.2904
sygyt_02,80,SWIPE,0.8148,0.7095,0.8228
sygyt_02,80,YIN,0.7027,0.5571,0.7536
sygyt_02,80,pYIN,0.5756,0.7439,0.7095
sygyt_02,80,HPS,0.6877,0.5784,0.6917
changing_fundamental,100,SWIPE,0.9128,0.7855,0.8923
changing_fundamental,100,YIN,0.9346,0.7907,0.9097
changing_fundamental,100,pYIN,0.9107,0.8553,0.9194
changing_fundamental,100,HPS,0.8876,0.7420,0.8557
fundamental_opposite_harmonic,100,SWIPE,0.9014,0.7847,0.9091
fundamental_opposite_harmonic,100,YIN,0.8997,0.8111,0.9245
fundamental_opposite_harmonic,100,pYIN,0.8930,0.8821,0.9455
fundamental_opposite_harmonic,100,HPS,0.8654,0.7515,0.8722
fundamental_opposite_harmonic02,100,SWIPE,0.9251,0.7263,0.8763
fundamental_opposite_harmonic02,100,YIN,0.9340,0.8156,0.9223
fundamental_opposite_harmonic02,100,pYIN,0.8983,0.8507,0.9112
fundamental_opposite_harmonic02,100,HPS,0.8610,0.6952,0.8214
fundamental_steps,100,SWIPE,0.8804,0.8022,0.8847
fundamental_steps,100,YIN,0.8831,0.7971,0.8978
fundamental_steps,100,pYIN,0.8708,0.8744,0.9128
fundamental_steps,100,HPS,0.8100,0.6864,0.7920
fundamental_steps02,100,SWIPE,0.8929,0.7686,0.9045
fundamental_steps02,100,YIN,0.8850,0.7783,0.9156
fundamental_steps02,100,pYIN,0.8551,0.8401,0.9112
fundamental_steps02,100,HPS,0.8315,0.7742,0.8679
fundamental_steps03,100,SWIPE,0.8834,0.7947,0.9236
fundamental_steps03,100,YIN,0.8811,0.7871,0.9301
fundamental_steps03,100,pYIN,0.8757,0.8612,0.9486
fundamental_steps03,100,HPS,0.8209,0.7522,0.8667
kargyraa,100,SWIPE,0.8532,0.0000,0.1347
kargyraa,100,YIN,0.9633,0.4507,0.7740
kargyraa,100,pYIN,0.9666,0.4135,0.7280
kargyraa,100,HPS,0.2383,0.1628,0.0885
khoomei,100,SWIPE,0.8240,0.5119,0.7065
khoomei,100,YIN,0.8256,0.5397,0.7664
khoomei,100,pYIN,0.8268,0.5698,0.7282
khoomei,100,HPS,0.0392,0.2038,0.1329
overtone_scale,100,SWIPE,0.8434,0.8081,0.8873
overtone_scale,100,YIN,0.8618,0.8768,0.9308
overtone_scale,100,pYIN,0.8154,0.8279,0.8764
overtone_scale,100,HPS,0.8720,0.8163,0.9087
overtone_scale_02,100,SWIPE,0.9268,0.7927,0.9026
overtone_scale_02,100,YIN,0.8991,0.7919,0.8953
overtone_scale_02,100,pYIN,0.9097,0.9064,0.9425
overtone_scale_02,100,HPS,0.7627,0.6632,0.7515
overtone_singing_song,100,SWIPE,0.8568,0.7463,0.8763
overtone_singing_song,100,YIN,0.8753,0.7504,0.9020
overtone_singing_song,100,pYIN,0.8469,0.8178,0.8980
overtone_singing_song,100,HPS,0.7837,0.6911,0.8052
paralel_overtones01,100,SWIPE,0.9299,0.8444,0.9220
paralel_overtones01,100,YIN,0.9315,0.7937,0.9008
paralel_overtones01,100,pYIN,0.9172,0.8369,0.9097
paralel_overtones01,100,HPS,0.8947,0.7786,0.8718
paralel_overtones02,100,SWIPE,0.9014,0.8049,0.9025
paralel_overtones02,100,YIN,0.9011,0.8050,0.9040
paralel_overtones02,100,pYIN,0.8744,0.8416,0.8972
paralel_overtones02,100,HPS,0.7302,0.7151,0.7600
sygyt,100,SWIPE,0.8170,0.7122,0.8596
sygyt,100,YIN,0.7063,0.4330,0.7154
sygyt,100,pYIN,0.7176,0.6977,0.7902
sygyt,100,HPS,0.1683,0.3516,0.2980
sygyt_02,100,SWIPE,0.8434,0.7195,0.8444
sygyt_02,100,YIN,0.7027,0.5571,0.7536
sygyt_02,100,pYIN,0.5960,0.7515,0.7238
sygyt_02,100,HPS,0.6877,0.5952,0.6995
changing_fundamental,120,SWIPE,0.9284,0.7942,0.9052
changing_fundamental,120,YIN,0.9379,0.7907,0.9117
changing_fundamental,120,pYIN,0.9169,0.8590,0.9245
changing_fundamental,120,HPS,0.9133,0.7596,0.8783
fundamental_opposite_harmonic,120,SWIPE,0.9014,0.7847,0.9091
fundamental_opposite_harmonic,120,YIN,0.9026,0.8111,0.9261
